,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
0,1495670400,0.003524,0.003,0.003439,3429245.99,11310.89,0.0031,direct,,2017-05-25
1,1495756800,0.003184,0.002922,0.0031,5058469.46,15747.21,0.00315,direct,,2017-05-26
2,1495843200,0.00315,0.002,0.00315,2327405.45,5433.87,0.002424,direct,,2017-05-27
3,1495929600,0.003019,0.0023,0.002424,4697415.01,11936.89,0.002372,direct,,2017-05-28
4,1496016000,0.0029,0.002242,0.002372,7462452.59,18464.64,0.002646,direct,,2017-05-29
5,1496102400,0.00284,0.0026,0.002646,3189440.26,8640.44,0.00268,direct,,2017-05-30
6,1496188800,0.00268,0.002301,0.00268,3567230.77,8861.09,0.002421,direct,,2017-05-31
7,1496275200,0.002691,0.002418,0.002421,1590174.93,4091.15,0.002621,direct,,2017-06-01
8,1496361600,0.003463,0.002521,0.002621,4763234.49,13253.21,0.002871,direct,,2017-06-02
9,1496448000,0.00331,0.002682,0.002871,6340010.42,18436.18,0.003209,direct,,2017-06-03
10,1496534400,0.003762,0.002553,0.003209,4568168.41,14469.85,0.003762,direct,,2017-06-04
11,1496620800,0.003825,0.002925,0.003762,2883706.97,9839.13,0.003776,direct,,2017-06-05
12,1496707200,0.06176,0.003298,0.003776,4875505.04,19240.24,0.003535,direct,,2017-06-06
13,1496793600,0.003842,0.003154,0.003535,4866449.37,16883.03,0.003295,direct,,2017-06-07
14,1496880000,0.003499,0.003086,0.003295,2947506.77,9941.61,0.003386,direct,,2017-06-08
15,1496966400,0.003625,0.003292,0.003386,4653334.29,15960.55,0.00336,direct,,2017-06-09
16,1497052800,0.00348,0.003124,0.00336,3298151.37,10896.48,0.003124,direct,,2017-06-10
17,1497139200,0.003498,0.003042,0.003124,6531284.6,21855.94,0.003449,direct,,2017-06-11
18,1497225600,0.003468,0.002716,0.003449,6338740.58,21009.56,0.003,direct,,2017-06-12
19,1497312000,0.003392,0.002966,0.003,6648836.52,21574.26,0.003276,direct,,2017-06-13
20,1497398400,0.003377,0.002739,0.003276,4455414.08,14247.04,0.003038,direct,,2017-06-14
21,1497484800,0.003122,0.002544,0.003038,6411789.2,18618.86,0.003066,direct,,2017-06-15
22,1497571200,0.003194,0.002752,0.003066,7967937.45,24023.23,0.00305,direct,,2017-06-16
23,1497657600,0.003303,0.002932,0.00305,4380719.63,13771.25,0.003193,direct,,2017-06-17
24,1497744000,0.003226,0.002932,0.003193,7411388.25,23158.94,0.003066,direct,,2017-06-18
25,1497830400,0.003211,0.002933,0.003066,6054796.96,18591.47,0.003098,direct,,2017-06-19
26,1497916800,0.00323,0.00304,0.003098,6397980.39,19843.07,0.003133,direct,,2017-06-20
27,1498003200,0.003229,0.002825,0.003133,2942222.42,9027.26,0.002964,direct,,2017-06-21
28,1498089600,0.003151,0.00285,0.002964,5529480.18,16464.15,0.003014,direct,,2017-06-22
29,1498176000,0.003131,0.002941,0.003014,5827079.1,17667.67,0.00304,direct,,2017-06-23
