,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
0,1495670400,35.76,26.07,34.8,2655714.72,82873114.27,28.32,direct,,2017-05-25
1,1495756800,31.35,23.35,28.32,2293954.54,62136621.23,24.45,direct,,2017-05-26
2,1495843200,25.94,18.13,24.45,2924934.35,63559697.72,22.83,direct,,2017-05-27
3,1495929600,25.92,21.79,22.83,1600758.66,37736853.79,23.89,direct,,2017-05-28
4,1496016000,25.99,23.01,23.89,1019676.88,25039934.6,25.33,direct,,2017-05-29
5,1496102400,26.33,23.54,25.33,1156827.3,28996976.43,23.89,direct,,2017-05-30
6,1496188800,25.99,23.51,23.89,1021629.99,25232341.83,25.91,direct,,2017-05-31
7,1496275200,29.61,25.77,25.91,1823401.75,49800957.2,27.55,direct,,2017-06-01
8,1496361600,28.65,26.78,27.55,813270.71,22513588.19,28.27,direct,,2017-06-02
9,1496448000,28.56,26.81,28.27,615398.94,16824195.81,27.27,direct,,2017-06-03
10,1496534400,27.93,26.86,27.27,577995.32,15762467.44,27.89,direct,,2017-06-04
11,1496620800,31.62,27.85,27.89,1365183.65,40548644.2,30.78,direct,,2017-06-05
12,1496707200,31.19,28.32,30.78,1441633.22,42992959.08,30.07,direct,,2017-06-06
13,1496793600,30.57,27.88,30.07,874974.15,25712956.1,28.47,direct,,2017-06-07
14,1496880000,30.39,27.8,28.47,852555.85,24919274.36,29.9,direct,,2017-06-08
15,1496966400,30.63,29.51,29.9,731241.68,21986499.42,29.54,direct,,2017-06-09
16,1497052800,30.31,29.39,29.54,810634.63,24059480.26,30.06,direct,,2017-06-10
17,1497139200,34.43,29.65,30.06,1650413.18,52704206.81,33.63,direct,,2017-06-11
18,1497225600,33.7,27.09,33.63,1885099.56,55552187.1,28.98,direct,,2017-06-12
19,1497312000,30.61,28.74,28.98,762018.85,22434912.48,30.38,direct,,2017-06-13
20,1497398400,31.81,27.96,30.38,1375707.32,40744168.59,29.19,direct,,2017-06-14
21,1497484800,29.79,25.45,29.19,1544855.21,42738176.25,29.29,direct,,2017-06-15
22,1497571200,34.18,28.32,29.29,1710350.24,53638308.12,34.12,direct,,2017-06-16
23,1497657600,47.7,34.12,34.12,5016967.39,204842940.54,45.8,direct,,2017-06-17
24,1497744000,45.81,39.49,45.8,2478772.85,106024449.1,43.8,direct,,2017-06-18
25,1497830400,50.14,42.45,43.8,2886672.05,134413488.82,47.37,direct,,2017-06-19
26,1497916800,48.32,43.29,47.37,1491973.88,68659918.63,45.68,direct,,2017-06-20
27,1498003200,46.75,42.85,45.68,1206561.46,53663961.39,44.5,direct,,2017-06-21
28,1498089600,47.91,43.21,44.5,982111.44,44885019.4,46.16,direct,,2017-06-22
29,1498176000,46.98,45.48,46.16,522043.52,24046249.47,46.0,direct,,2017-06-23
30,1498262400,46.09,42.04,46.0,804547.36,35158428.47,42.7,direct,,2017-06-24
31,1498348800,44.02,39.33,42.7,986926.56,40946994.36,41.28,direct,,2017-06-25
32,1498435200,42.21,34.43,41.28,1779942.06,67058517.29,38.53,direct,,2017-06-26
33,1498521600,40.24,34.19,38.53,1403159.72,51972842.18,40.24,direct,,2017-06-27
34,1498608000,43.1,37.95,40.24,1169845.97,47463923.08,41.89,direct,,2017-06-28
35,1498694400,41.94,39.45,41.89,638781.54,25918352.3,40.13,direct,,2017-06-29
36,1498780800,41.22,39.29,40.13,521878.48,20906005.14,39.48,direct,,2017-06-30
37,1498867200,39.7,37.12,39.48,520504.4,19837650.46,38.08,direct,,2017-07-01
38,1498953600,41.65,36.87,38.08,682570.75,26758013.34,41.26,direct,,2017-07-02
39,1499040000,47.56,40.36,41.26,1833533.57,82237199.37,45.34,direct,,2017-07-03
40,1499126400,54.82,45.34,45.34,2676871.93,136045162.56,54.51,direct,,2017-07-04
41,1499212800,56.58,49.11,54.51,1864947.31,97598572.29,52.92,direct,,2017-07-05
42,1499299200,52.98,49.79,52.92,840271.42,42796216.44,51.04,direct,,2017-07-06
43,1499385600,51.18,44.47,51.04,1745425.55,82111789.69,46.1,direct,,2017-07-07
44,1499472000,52.11,44.33,46.1,1293429.49,62095488.7,51.22,direct,,2017-07-08
45,1499558400,52.4,48.32,51.22,861130.65,43087563.54,48.63,direct,,2017-07-09
46,1499644800,49.66,42.68,48.63,1438096.31,66471287.02,45.0,direct,,2017-07-10
47,1499731200,46.69,41.84,45.0,1506683.17,66201265.45,43.98,direct,,2017-07-11
48,1499817600,48.38,42.4,43.98,1314367.81,60143698.56,47.14,direct,,2017-07-12
49,1499904000,47.66,44.07,47.14,740592.9,33745880.89,45.69,direct,,2017-07-13
50,1499990400,45.96,39.96,45.69,1243452.92,53012174.19,42.46,direct,,2017-07-14
51,1500076800,42.68,37.7,42.46,1402645.69,55602665.51,38.41,direct,,2017-07-15
52,1500163200,41.81,35.49,38.41,1693715.76,65293460.2,40.7,direct,,2017-07-16
53,1500249600,42.98,39.91,40.7,1442921.42,60156241.78,42.17,direct,,2017-07-17
54,1500336000,44.84,40.74,42.17,1322076.05,57140834.57,43.35,direct,,2017-07-18
55,1500422400,43.77,39.82,43.35,988347.66,41443140.56,40.11,direct,,2017-07-19
56,1500508800,45.23,40.11,40.11,1420088.03,61701476.23,44.35,direct,,2017-07-20
57,1500595200,47.31,43.99,44.35,1121739.77,51397779.3,45.2,direct,,2017-07-21
58,1500681600,47.11,44.88,45.2,499635.51,22979927.34,46.47,direct,,2017-07-22
