,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
0,1495670400,0.3027,0.231,0.29,77640588.87,20208070.63,0.24,direct,,2017-05-25
1,1495756800,0.3282,0.24,0.24,69359469.41,19654368.93,0.276,direct,,2017-05-26
2,1495843200,0.287,0.135,0.276,142982758.12,28093426.39,0.21,direct,,2017-05-27
3,1495929600,0.2489,0.2033,0.21,55287846.06,11990463.42,0.2281,direct,,2017-05-28
4,1496016000,0.2462,0.2102,0.2281,47022259.61,10585430.11,0.2324,direct,,2017-05-29
5,1496102400,0.2388,0.1868,0.2324,40779818.03,8841687.19,0.2042,direct,,2017-05-30
6,1496188800,0.251,0.1931,0.2042,51676689.21,11365542.0,0.2475,direct,,2017-05-31
7,1496275200,0.34,0.2456,0.2475,124130165.67,36224800.07,0.3364,direct,,2017-06-01
8,1496361600,0.3372,0.2759,0.3364,49615504.65,14682655.98,0.2959,direct,,2017-06-02
9,1496448000,0.307,0.2711,0.2959,26174288.34,7343416.42,0.2921,direct,,2017-06-03
10,1496534400,0.31,0.271,0.2921,14936400.01,4301001.2,0.2941,direct,,2017-06-04
11,1496620800,0.2979,0.2869,0.2941,12305756.13,3537444.36,0.2888,direct,,2017-06-05
12,1496707200,0.295,0.274,0.2888,41415473.4,11631815.38,0.284,direct,,2017-06-06
13,1496793600,0.3,0.2717,0.284,45347019.83,12841935.83,0.2762,direct,,2017-06-07
14,1496880000,0.2973,0.27,0.2762,24468373.19,6947528.66,0.2869,direct,,2017-06-08
15,1496966400,0.296,0.28,0.2869,19735787.39,5686608.83,0.2814,direct,,2017-06-09
16,1497052800,0.2848,0.2555,0.2814,34208675.2,9130607.59,0.2598,direct,,2017-06-10
17,1497139200,0.28,0.2543,0.2598,21434528.02,5691147.16,0.2701,direct,,2017-06-11
18,1497225600,0.282,0.2325,0.2701,56601709.1,14044119.87,0.2467,direct,,2017-06-12
19,1497312000,0.275,0.2454,0.2467,23963493.68,6073130.84,0.2626,direct,,2017-06-13
20,1497398400,0.3,0.245,0.2626,55854511.68,15105056.57,0.2623,direct,,2017-06-14
21,1497484800,0.2642,0.214,0.2623,50497842.08,11786932.87,0.245,direct,,2017-06-15
22,1497571200,0.257,0.2325,0.245,19461669.73,4736284.88,0.2506,direct,,2017-06-16
23,1497657600,0.265,0.2357,0.2506,28881453.28,7225216.03,0.2597,direct,,2017-06-17
24,1497744000,0.278,0.247,0.2597,32932524.23,8604390.18,0.2651,direct,,2017-06-18
25,1497830400,0.282,0.2588,0.2651,20883914.01,5576730.22,0.281,direct,,2017-06-19
26,1497916800,0.325,0.2742,0.281,77740855.21,23633172.29,0.308,direct,,2017-06-20
27,1498003200,0.3126,0.2542,0.308,48481619.89,13552632.34,0.2726,direct,,2017-06-21
28,1498089600,0.2816,0.2513,0.2726,46961504.42,12535773.68,0.2779,direct,,2017-06-22
