,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
0,1495670400,216.1,160.86,193.03,1244603.0,238787495.75,177.33,direct,,2017-05-25
1,1495756800,197.67,141.56,177.33,1057854.77,180297613.5,162.83,direct,,2017-05-26
2,1495843200,169.62,114.17,162.83,1551930.38,220037050.67,156.63,direct,,2017-05-27
3,1495929600,182.36,156.51,156.51,765913.66,127225150.79,172.86,direct,,2017-05-28
4,1496016000,197.74,165.36,172.86,649778.58,117364507.62,194.17,direct,,2017-05-29
5,1496102400,232.08,185.83,194.17,1246427.54,259513540.14,228.58,direct,,2017-05-30
6,1496188800,233.92,214.05,228.58,1010028.21,225740686.88,228.64,direct,,2017-05-31
7,1496275200,235.52,208.0,228.64,855293.22,188744370.55,220.7,direct,,2017-06-01
8,1496361600,227.71,216.94,220.7,407207.46,89635792.58,222.04,direct,,2017-06-02
9,1496448000,232.91,217.1,222.86,620010.1,138723103.95,223.74,multiply,BTC,2017-06-03
10,1496534400,249.34,223.88,224.3,519826.47,123696111.28,244.96,direct,,2017-06-04
11,1496620800,248.62,241.5,244.96,339404.76,83061054.37,247.75,direct,,2017-06-05
12,1496707200,268.12,246.5,247.75,738103.3,189040588.11,264.26,direct,,2017-06-06
13,1496793600,264.8,246.17,264.26,449467.44,115588722.19,255.77,direct,,2017-06-07
14,1496880000,260.77,250.89,255.77,354113.99,90124852.82,259.41,direct,,2017-06-08
15,1496966400,279.14,259.36,259.41,451368.51,121471877.23,279.11,direct,,2017-06-09
16,1497052800,351.82,278.79,279.11,931148.98,286877358.36,335.95,direct,,2017-06-10
17,1497139200,351.21,314.39,335.95,639586.84,215135870.25,339.68,direct,,2017-06-11
18,1497225600,417.21,311.99,339.68,1509276.84,549683393.83,394.66,direct,,2017-06-12
19,1497312000,399.5,359.7,394.66,681665.87,260123720.89,388.09,direct,,2017-06-13
20,1497398400,393.62,317.23,388.09,973146.95,348212541.18,343.84,direct,,2017-06-14
